id,correct answer,CoT answers,Correctness,LEN,"('QUA', 'IM')","('DIF', 'IV')","('DIF', 'SUB')",AC
0,18,"['18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18'
 '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18'
 '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '18']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]","[4 4 4 4 4 4 4 4 4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 5 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 2 0 0 2 0 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 5 5 0 0 2
 2 0 2]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]"
1,3,"['3' '3' '3' '1 5' '3' '1 5' '3' '3' '3' '45353' '3' '3' '3' '3' '3' '3'
 '3' '3' '3' '3' '5' '1 5' '3' '3' '3' '1 5' '1 5' '1' '1' '3' '3' '3' '3'
 '3' '45353' '3' '3' '3' '3' '1 5']","[ True  True  True False  True False  True  True  True False  True  True
  True  True  True  True  True  True  True  True False False  True  True
  True False False False False  True  True  True  True  True False  True
  True  True  True False]","[4 3 5 3 3 3 4 4 4 4 4 4 5 5 5 4 4 3 4 5 5 6 5 4 4 3 4 5 3 3 4 4 3 3 6 5 4
 5 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 2 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 2 0 2 2
 0 0 2]",Math,"[False  True  True False False False False  True  True False False  True
  True  True  True  True  True  True  True  True False False False  True
  True False  True False  True False  True  True  True  True False False
  True  True  True False]"
2,70000,"['195000' '195000' '195000' '195000' '195000' '65000' '195000' '65000'
 '195000' '195000' '65000' '70000' '195000' '52000' '65000' '195000'
 '65000' '65000' '195000' '65000' '195000' '195000' '65000' '195000'
 '65000' '65000' '195000' '65000' '65000' '195000' '78000' '70000' '70000'
 '195000' '195000' '195000' '195000' '65000' '65000' '195000']","[False False False False False False False False False False False  True
 False False False False False False False False False False False False
 False False False False False False False  True  True False False False
 False False False False]","[ 4  4  4  4  4  3  8  3  8  4  3  4  4  9  3  8  3  4  8  3  7  8 10  4
  3  3  8  6  3  8  7  4  4  8  4  4  3  3  3  4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True  True  True  True False False False False  True False False
 False False False False False  True False False False  True False False
 False  True False False  True False False False  True False  True  True
  True False  True False]"
3,540,"['540' '540' '540' '540' '540' '540' '540' '540' '540' '540' '540' '540'
 '540' '540' '540' '540' '540' '540' '540' '540' '540' '540' '540' '540'
 '540' '540' '540' '540' '540' '540' '540' '540' '540' '540' '540' '540'
 '540' '540' '540' '540']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]","[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]"
4,20,"['140' '140' '35' '3' '760' '4 21' '20' '10' '35' '140' '35' '4 21' '10'
 '8' '35' '35' '0' '10' '10' '10' '10' '35' '40' '60' '140' '35' '35' '35'
 '35' '20' '10' '10' '10' '35' '35' '10' '140' '10' '10' '10']","[False False False False False False  True False False False False False
 False False False False False False False False False False False False
 False False False False False  True False False False False False False
 False False False False]","[3 3 3 4 3 3 4 5 3 3 3 3 3 4 3 4 5 3 4 4 4 3 3 4 3 4 3 3 3 4 3 4 4 4 4 4 3
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True False False False False False False False False False False
 False False False  True False False  True  True  True False False False
 False False  True  True  True False False  True  True False  True False
 False False  True  True]"
5,64,"['64' '64' '94' '64' '5 3 5 3 5 8 40' '64' '94' '64' '64' '64' '64' '64'
 '80' '64' '64' '64' '96' '64' '64' '64' '64' '64' '94' '94' '64' '94'
 '96' '96' '64' '64' '64' '64' '64' '96' '64' '64' '94' '64' '64' '64']","[ True  True False  True False  True False  True  True  True  True  True
 False  True  True  True False  True  True  True  True  True False False
  True False False False  True  True  True  True  True False  True  True
 False  True  True  True]","[ 7  3  5  7  5  3  6  3  9  6  9  8  7  8  7  8  2  9  3  9  4  3  6  5
  3  6  5  6  3  8  3  8  3  6  8  3  5 10  6  8]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 2 0 0 0 0 0 0 2 0 2 0 0 0 0 0 2 9 0 2 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True False False False False False False  True  True  True  True
 False False  True  True False False  True  True  True  True False  True
 False False False  True False  True  True  True  True False False  True
 False False  True  True]"
6,260,"['180' '260' '260' '260' '240' '260' '380' '260' '260' '240' '260' '180'
 '260' '260' '380' '260' '260' '260' '180' '260' '260' '260' '260' '380'
 '260' '260' '260' '260' '260' '260' '260' '380' '260' '260' '260' '180'
 '260' '260' '260' '260']","[False  True  True  True False  True False  True  True False  True False
  True  True False  True  True  True False  True  True  True  True False
  True  True  True  True  True  True  True False  True  True  True False
  True  True  True  True]","[ 5  8  5  5  5  5  5  5  6  5  8  5  5  5  5  5  5  6  5  7  5  5 10  5
  5  9  5  5  4  6  5  5  5  5  5  5  5  5  4  5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False False  True  True False False False False  True False False False
 False  True False False  True  True False False  True  True  True False
 False  True  True  True  True  True  True False False  True  True False
 False  True  True  True]"
7,160,"['260' '120' '120' '60' '60' '120' '120' '160' '120' '120' '160' '160'
 '100' '160' '160' '160' '90' '100' '120' '180' '160' '160' '260' '160'
 '160' '260' '260' '100' '120' '120' '120' '120' '120' '120' '120' '260'
 '120' '160' '120' '160']","[False False False False False False False  True False False  True  True
 False  True  True  True False False False False  True  True False  True
  True False False False False False False False False False False False
 False  True False  True]","[3 3 4 2 3 4 3 2 2 3 4 4 3 3 4 4 2 3 3 3 2 2 2 3 3 3 2 3 4 3 4 3 4 4 3 2 2
 2 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0]",Math,"[False False  True False  True False  True False False  True False  True
 False False  True  True False False False False False  True False False
  True False  True False False  True  True  True  True  True  True False
 False False False False]"
8,45,"['285' '285' '240' '285' '240' '285' '315' '285' '315' '315' '285' '315'
 '315' '285' '315' '315' '315' '285 4' '285' '315' '315' '285' '315' '240'
 '315' '235' '315' '285' '315' '285' '315' '290 4' '235' '315' '315' '285'
 '240' '285' '315' '285']","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]","[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True False False False False False False False  True False False
  True False False  True  True False False False  True False False False
 False False False False False False False False False False  True False
 False False False False]"
9,460,"['460' '460' '460' '460' '460' '460' '460' '460' '460' '460' '460' '460'
 '460' '460' '460' '460' '460' '460' '460' '460' '460' '460' '460' '460'
 '460' '520' '460' '460' '460' '460' '460' '460' '460' '460' '460' '520'
 '460' '460' '460' '460']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True  True False
  True  True  True  True]","[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 2 9 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 5 0 0 0 5 2 0 0 2 0 0 0 0
 0 0 2]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False  True  True  True  True  True  True  True  True False
 False  True  True  True]"
