Question,Category,Correct Answer,Name
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The patient was referred to the specialist because he had a rare skin condition.
  Options:
(A) Ambiguous
(B) The patient had a skin condition
(C) The specialist had a skin condition",disambiguation_qa,A,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The scientist collaborated with the artist, and he shared a story.
  Options:
(A) Ambiguous
(B) The artist shared a story
(C) The scientist shared a story",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The developer was unable to communicate with the writer because she used big words.
  Options:
(A) Ambiguous
(B) The developer uses big words
(C) The writer uses big words",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The scientist will collaborate with the artist, and he will share a story.
  Options:
(A) Ambiguous
(B) The artist will share a story
(C) The scientist will share a story",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: Bailey planned to meet the director at their office
  Options:
(A) Ambiguous
(B) The office was Bailey's office
(C) The office was the director's office",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The developer argued with the designer because she liked the design.
  Options:
(A) Ambiguous
(B) The designer liked the design
(C) The developer liked the design",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The investigator wanted to interview the witness in person, but she was too late.
  Options:
(A) Ambiguous
(B) The investigator was too late
(C) The witness was too late",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The guard called the cleaner and asked them to open the door.
  Options:
(A) Ambiguous
(B) Asked the cleaner
(C) Asked the guard",disambiguation_qa,B,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The scientist collaborates with the artist, and he shares a story.
  Options:
(A) Ambiguous
(B) The artist shares a story
(C) The scientist shares a story",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The customer and the chef discuss his culinary training.
  Options:
(A) Ambiguous
(B) It is the chef's culinary training
(C) It is the customer's culinary training",disambiguation_qa,B,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The mechanic disliked the cashier because he is arrogant.
  Options:
(A) Ambiguous
(B) The cashier is arrogant
(C) The mechanic is arrogant",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: Bailey planned to meet the director at his office
  Options:
(A) Ambiguous
(B) The office was Bailey's office
(C) The office was the director's office",disambiguation_qa,C,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The writer tried to fool the salesperson and told them a fake story.
  Options:
(A) Ambiguous
(B) Told the salesperson a fake story
(C) Told the writer a fake story",disambiguation_qa,B,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: This story could not be published without the writer and their friends' support.
  Options:
(A) They were the friends' friends
(B) They were the writer's friends
(C) Ambiguous
(D) They were the story's friends",disambiguation_qa,A,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The chief thanked the housekeeper and gave her some tips.
  Options:
(A) Ambiguous
(B) Gave the chief some tips
(C) Gave the housekeeper some tips",disambiguation_qa,B,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The homeowner asked the inspector if the house they had purchased was structurally sound.
  Options:
(A) Ambiguous
(B) The homeowner had purchased
(C) The inspector had purchased",disambiguation_qa,A,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The developer was unable to communicate with the writer because he focuses on code.
  Options:
(A) Ambiguous
(B) The developer focuses on code
(C) The writer focuses on code",disambiguation_qa,A,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The supervisor gave the employee feedback on his stellar performance.
  Options:
(A) Ambiguous
(B) It was the employee's performance
(C) It was the supervisor's performance",disambiguation_qa,B,BigBench_easy
"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.

Sentence: The lawyer looked into illegal accusations against the cashier, because he needed to understand the case.
  Options:
(A) Ambiguous
(B) The cashier needed to understand
(C) The lawyer needed to understand",disambiguation_qa,A,BigBench_easy
