id,correct answer,CoT answers,Correctness,LEN,"('QUA', 'IM')","('DIF', 'IV')","('DIF', 'SUB')",AC
0,A,"['A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A' 'A'
 'A' 'A' 'A' 'A']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",disambiguation_qa,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]"
1,C,"['B' 'B' 'C' 'C' 'C' 'A' 'C' 'C' 'C' 'C' 'C' 'C' 'B' 'C' 'C' 'C' 'C' 'C'
 'C' 'C' 'ERROR' 'C' 'B' 'C' 'C' 'C' 'C' 'C' 'B' 'ERROR' 'C' 'B' 'A' 'C'
 'C' 'C' 'C' 'C' 'C' 'C']","[False False  True  True  True False  True  True  True  True  True  True
 False  True  True  True  True  True  True  True False  True False  True
  True  True  True  True False False  True False False  True  True  True
  True  True  True  True]","[1 4 3 3 4 5 3 4 3 1 3 3 4 3 4 4 3 1 1 4 0 3 4 4 4 4 4 4 4 0 3 5 4 3 4 3 1
 1 3 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[ 2  2  0  0  9  0  9  2  0  2  2  0  0  2  0  2  0  0  0  0 10  0  2  0
  0  0  0  0  0 10  5  2  2  2  0  0  0  0  0  0]",disambiguation_qa,"[False  True False  True  True False False  True  True  True  True  True
 False False  True  True  True  True  True  True False False False False
  True  True  True  True False False False False False False  True  True
  True  True  True  True]"
2,C,"['ERROR' 'B' 'B' 'B' 'B' 'C' 'B' 'ERROR' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B'
 'B' 'B' 'B' 'ERROR' 'B' 'B' 'B' 'B' 'B' 'B' 'C' 'B' 'B' 'B' 'B' 'B' 'B'
 'B' 'B' 'B' 'B' 'B' 'B' 'B']","[False False False False False  True False False False False False False
 False False False False False False False False False False False False
 False False  True False False False False False False False False False
 False False False False]","[0 4 4 4 3 4 4 0 3 4 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[10  0  0  2  0  2  9 10  0  0  0  5  0  9  0  0  0  0  2 10  0  0  2  9
  0  0  0  0  0  0  0  0  0  2  9  5  2  0  0  2]",disambiguation_qa,"[False False  True  True  True False False False False  True  True  True
  True  True  True  True  True  True  True False False  True  True  True
  True  True False False  True  True  True  True  True  True  True  True
  True  True  True  True]"
3,C,"['C' 'B' 'C' 'C' 'B' 'C' 'C' 'C' 'C' 'B' 'B' 'B' 'C' 'C' 'C' 'C' 'C' 'B'
 'C' 'B' 'C' 'C' 'B' 'C' 'C' 'C' 'C' 'C' 'B' 'B' 'C' 'B' 'C' 'C' 'B' 'C'
 'C' 'C' 'C' 'C']","[ True False  True  True False  True  True  True  True False False False
  True  True  True  True  True False  True False  True  True False  True
  True  True  True  True False False  True False  True  True False  True
  True  True  True  True]","[1 4 1 1 4 1 1 1 1 5 4 4 1 3 1 2 1 5 1 1 1 2 4 1 1 1 1 1 4 4 1 1 1 1 4 1 1
 1 1 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 5 0
 0 2 0]",disambiguation_qa,"[False False False  True False False  True  True  True False  True  True
 False  True  True  True  True False False False False  True False False
  True  True  True  True False  True False False False  True False False
  True  True  True  True]"
4,C,"['C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'B' 'A' 'C' 'A' 'C' 'C'
 'C' 'C' 'A' 'B' 'B' 'C' 'C' 'C' 'B' 'A' 'C' 'C' 'A' 'B' 'C' 'C' 'C' 'C'
 'C' 'B' 'C' 'C']","[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True False  True  True  True  True False False False  True
  True  True False False  True  True False False  True  True  True  True
  True False  True  True]","[4 4 5 4 4 4 4 4 4 3 4 4 4 5 4 7 4 4 4 4 5 5 4 4 4 4 4 5 4 4 5 4 4 4 4 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",disambiguation_qa,"[False  True  True  True  True  True  True  True  True  True  True  True
 False False False False False  True  True  True False False  True False
  True  True False False False  True False False False  True  True  True
  True False False  True]"
5,C,"['B' 'C' 'B' 'C' 'B' 'C' 'B' 'B' 'C' 'C' 'B' 'B' 'C' 'B' 'B' 'C' 'B' 'B'
 'C' 'ERROR' 'B' 'B' 'C' 'B' 'C' 'B' 'C' 'C' 'B' 'C' 'B' 'B' 'B' 'B' 'B'
 'C' 'C' 'C' 'B' 'B']","[False  True False  True False  True False False  True  True False False
  True False False  True False False  True False False False  True False
  True False  True  True False  True False False False False False  True
  True  True False False]","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[ 0  5  0  0  0  2  0  9  0  5  2  0  0  2  0  5  0  0  0 10  0  2  2  0
  0  0  9  0  0  0  0  2  0  0  2  0  0  0  0  2]",disambiguation_qa,"[False False False False False False False  True False  True False  True
 False False  True False False  True False False False  True False False
 False False False  True False False False  True  True  True  True False
  True  True False  True]"
6,C,"['B' 'C' 'A' 'A' 'B' 'B' 'B' 'B' 'C' 'B' 'C' 'B' 'A' 'B' 'B' 'B' 'B' 'B'
 'C' 'B' 'B' 'B' 'C' 'B' 'B' 'B' 'B' 'B' 'B' 'A' 'C' 'B' 'C' 'B' 'B' 'B'
 'B' 'B' 'B' 'B']","[False  True False False False False False False  True False  True False
 False False False False False False  True False False False  True False
 False False False False False False  True False  True False False False
 False False False False]","[4 4 4 4 4 4 4 4 1 4 4 4 4 4 5 4 4 4 1 4 4 4 4 4 4 4 4 4 4 5 1 4 4 4 4 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 2 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 2
 0 0 0]",disambiguation_qa,"[False False False  True False  True  True  True False False False False
 False False  True  True  True  True False False  True  True False False
  True  True  True  True  True False False False False False  True  True
  True  True  True  True]"
7,B,"['B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B' 'B'
 'B' 'B' 'B' 'B' 'B' 'B' 'C' 'B' 'B' 'B' 'B' 'C' 'B' 'B' 'B' 'B' 'B' 'B'
 'B' 'B' 'C' 'B']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True  True  True False  True  True  True  True  True  True
  True  True False  True]","[4 3 4 4 4 3 2 4 3 3 4 4 3 3 3 4 3 1 3 4 4 4 2 3 4 4 4 6 3 4 3 4 4 3 2 3 4
 4 3 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0 0 0]",disambiguation_qa,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True  True False False  True  True  True  True  True
  True  True False False]"
8,C,"['C' 'B' 'C' 'C' 'C' 'C' 'C' 'B' 'C' 'C' 'B' 'C' 'C' 'B' 'C' 'C' 'C' 'B'
 'C' 'C' 'C' 'C' 'B' 'C' 'C' 'B' 'C' 'C' 'C' 'C' 'C' 'C' 'A' 'B' 'C' 'B'
 'B' 'B' 'B' 'C']","[ True False  True  True  True  True  True False  True  True False  True
  True False  True  True  True False  True  True  True  True False  True
  True False  True  True  True  True  True  True False False  True False
 False False False  True]","[4 4 2 1 1 1 1 1 1 1 2 1 4 2 1 3 1 1 1 3 1 1 2 1 4 2 1 1 1 3 3 4 4 1 3 5 2
 2 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",disambiguation_qa,"[False False False  True  True  True  True False False  True False False
  True False False  True  True False False  True  True  True False False
  True False False  True  True  True  True  True False False False False
  True  True  True False]"
9,B,"['C' 'C' 'C' 'C' 'C' 'B' 'C' 'B' 'C' 'C' 'C' 'B' 'C' 'C' 'B' 'B' 'C' 'C'
 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'C' 'B' 'C' 'C' 'B' 'C'
 'C' 'C' 'C' 'C']","[False False False False False  True False  True False False False  True
 False False  True  True False False False False False False False False
 False False False False False False False  True False False  True False
 False False False False]","[4 3 3 4 4 4 1 4 3 4 3 4 3 4 4 4 4 4 4 4 3 4 4 4 4 3 4 4 4 3 4 4 4 3 4 4 4
 4 4 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 2 0]",disambiguation_qa,"[False  True  True  True  True False False False False  True  True False
 False  True False  True False  True  True  True  True  True  True  True
  True  True  True  True  True  True  True False False  True False False
  True  True  True  True]"
